"fare_amount","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count","year","month","day","dayofweek","hour","timeofday","dist"
4.5,-73.844311,40.721319,-73.84161,40.712278,1,2009,6,15,2,17,"Evening",1.03076393504951
16.9,-74.016048,40.711303,-73.979268,40.782004,1,2010,1,5,3,16,"Evening",8.45013359580599
5.7,-73.982738,40.76127,-73.991242,40.750562,2,2011,8,18,5,0,"Night",1.38952522576973
7.7,-73.9853946,40.7495669,-73.988221,40.7567263,1,2012,4,21,7,4,"Morning",0.830926239792057
5.3,-73.968095,40.768008,-73.956655,40.783762,1,2010,3,9,3,7,"Morning",1.99915678799634
12.1,-74.000964,40.73163,-73.972892,40.758233,1,2011,1,6,5,9,"Mid-Day",3.78723908478199
7.5,-73.980002,40.751662,-73.973802,40.764842,1,2012,11,20,3,20,"Night",1.55580665935005
16.5,-73.9513,40.774138,-73.990095,40.751048,1,2012,1,4,4,17,"Evening",4.15544429184581
8.9,-73.980658,40.733873,-73.99154,40.758138,2,2009,9,2,4,1,"Night",2.84962679610705
5.3,-73.996335,40.737142,-73.980721,40.733559,1,2012,4,8,1,7,"Morning",1.37457699959384
5.5,-73.981784689,40.757923829,-73.97945888,40.75896891,3,2012,12,24,2,11,"Mid-Day",0.227769950255372
4.1,-73.991601,40.744712,-73.983081,40.744682,2,2009,11,6,6,1,"Night",0.717767487453117
7,-74.00536,40.728867,-74.008913,40.710907,1,2013,7,2,3,19,"Night",2.01938382719791
7.7,-74.001821,40.737547,-73.99806,40.722788,2,2011,4,5,3,17,"Evening",1.67144459807532
5,-73.977076702,40.762331647,-73.985512484,40.761416172,1,2013,11,23,7,12,"Mid-Day",0.717736807853866
12.5,-73.98643,40.760465,-73.98899,40.737075,1,2014,2,19,4,7,"Morning",2.60977449374536
5.3,-73.98106,40.73769,-73.994177,40.728412,1,2009,7,22,4,16,"Evening",1.51190424771891
5.3,-73.969505,40.784843,-73.958732,40.783357,1,2010,7,7,4,14,"Evening",0.921951718254539
4,-73.979815,40.751902,-73.979446,40.755481,1,2014,12,6,7,20,"Night",0.399178570398856
10.5,-73.985382,40.747858,-73.978377,40.76207,1,2010,9,7,3,13,"Mid-Day",1.68686133016975
11.5,-73.957954,40.779252,-73.96125,40.758787,1,2013,2,12,3,12,"Mid-Day",2.2924697999177
4.5,-73.991707,40.770505,-73.985459,40.763671,1,2009,8,6,5,18,"Night",0.924295732638941
4.9,-74.000632,40.747473,-73.986672,40.740577,1,2010,12,6,2,12,"Mid-Day",1.40395817860183
6.1,-73.969622,40.756973,-73.981152,40.759712,1,2009,12,10,5,15,"Evening",1.01777308822788
7.3,-73.991875,40.754437,-73.97723,40.774323,3,2011,6,21,3,16,"Evening",2.53194669719318
4.5,-73.988893,40.76016,-73.986445,40.757857,3,2011,6,28,3,19,"Night",0.328770852684316
9.3,-73.989258,40.690835,-74.004133,40.72569,1,2012,5,4,6,6,"Morning",4.07346309048717
4.5,-73.98102,40.73776,-73.980668,40.730497,2,2013,8,11,1,0,"Night",0.808153160788718
5.5,-73.976075,40.752422,-73.981082,40.759285,1,2014,2,19,4,16,"Evening",0.871913268998996
22.54,-74.01048279,40.71766663,-73.98577118,40.66036606,2,2015,6,21,1,21,"Night",6.70355167611182
31.9,-73.873027,40.773883,-73.984545,40.769545,3,2009,1,9,6,16,"Evening",9.40329565838968
5.7,-73.976162,40.744988,-73.990002,40.738323,2,2011,9,7,4,14,"Evening",1.38158850659753
18.1,-73.993717,40.740785,-73.999272,40.676617,1,2011,9,7,4,23,"Night",7.15050280616069
58,-73.98332977,40.73871994,-73.93319702,40.84722519,1,2015,1,11,1,3,"Morning",12.782055750141
4.5,-73.99017334,40.75644684,-73.98561859,40.76282883,1,2015,3,12,5,8,"Morning",0.806699283426312
5.3,-73.995199,40.75474,-74.005416,40.751084,1,2012,1,19,5,10,"Mid-Day",0.951800839911073
9,-73.95774,40.773617,-73.977087,40.758465,6,2013,11,24,1,11,"Mid-Day",2.34380247655815
9.8,-73.972673,40.759186,-73.969897,40.791367,1,2009,3,2,2,20,"Night",3.5859907143794
8.1,-73.984267,40.744961,-73.981646,40.759608,1,2011,3,29,3,15,"Evening",1.64356805935343
10.9,-74.003899,40.725514,-73.976484,40.765537,2,2011,10,15,7,10,"Mid-Day",5.0139358273761
17.5,-73.97845,40.76292,-74.008482,40.716502,1,2013,11,22,6,8,"Morning",5.74825884060918
12.1,-73.988558,40.7372,-73.958688,40.780748,1,2009,6,10,4,21,"Night",5.45687047329047
5.3,-73.997037,40.737095,-73.986128,40.735043,1,2011,3,4,6,18,"Night",0.947036067268632
6.9,-73.971114,40.758944,-73.97793,40.736613,1,2011,8,31,4,21,"Night",2.54861518630444
4.5,-73.980822,40.74442,-73.991093,40.748797,1,2011,6,1,4,20,"Night",0.992737736302406
3.3,-73.988877,40.763577,-73.985573,40.760262,1,2011,12,14,4,7,"Morning",0.461853470520608
3.3,-73.98666,40.756072,-73.989727,40.751702,5,2012,7,18,4,0,"Night",0.550327239765378
9,-73.992253,40.742657,-73.983597,40.755947,1,2013,1,29,3,12,"Mid-Day",1.64788322320505
9.7,-73.985582,40.739765,-73.973899,40.760426,1,2011,12,6,3,9,"Mid-Day",2.49931561723086
5.5,-73.952825,40.772048,-73.952194,40.781152,3,2012,10,6,7,20,"Night",1.01371200899848
8,-73.980298,40.783723,-73.979628,40.763179,1,2013,1,23,4,7,"Morning",2.285085178134
7.5,-73.977708,40.746212,-73.975782,40.745055,1,2013,9,7,7,3,"Morning",0.207067953162243
25.5,-73.974497,40.751603,-73.934927,40.851567,4,2013,11,10,1,1,"Night",11.6037739645791
15.3,-73.97151,40.755886,-73.968067,40.801173,1,2012,1,4,4,18,"Night",5.04402266287979
34.67,-73.985427,40.758853,-73.872907,40.774497,1,2010,5,31,2,18,"Night",9.63435442314002
9.7,-73.979542,40.727498,-73.999315,40.730088,4,2011,3,19,7,21,"Night",1.69086360710947
13.7,-74.002113,40.739582,-73.971918,40.791899,2,2012,7,19,5,23,"Night",6.34890058793695
6.5,-73.98543,40.736011,-73.982501,40.724802,1,2009,3,23,2,12,"Mid-Day",1.27058455554739
5,-73.996148,40.74189,-73.992202,40.739425,6,2014,7,16,4,10,"Mid-Day",0.430870770126791
4.5,-74.009137,40.713436,-74.002823,40.723428,3,2011,4,22,6,23,"Night",1.23191440003925
4.9,-74.003985,40.731677,-73.999765,40.723512,1,2012,1,2,2,14,"Evening",0.975062450660794
7,-73.966203,40.7675,-73.980915,40.77424,6,2014,5,1,5,9,"Mid-Day",1.44795796944638
7.3,-74.003919,40.753019,-73.992368,40.735362,2,2011,11,7,2,10,"Mid-Day",2.19129234584039
7.5,-74.004736,40.715882,-74.017723,40.705141,1,2012,10,7,1,17,"Evening",1.62009156010814
8.5,-73.991467,40.750575,-73.98575,40.741547,4,2014,1,17,6,9,"Mid-Day",1.11341917371998
16.5,-73.970323,40.75084,-73.998392,40.724862,6,2014,4,29,3,18,"Night",3.73320843663577
11.5,-73.97927856,40.72343826,-74.00460815,40.74694824,6,2015,4,12,1,10,"Mid-Day",3.37471301390013
6.9,-73.995781,40.723411,-74.005004,40.71895,2,2009,8,2,1,2,"Night",0.922055450880219
3.7,-74.00163,40.730767,-73.997112,40.737533,1,2010,1,31,1,10,"Mid-Day",0.843170454487974
6.9,-73.955118,40.768942,-73.963495,40.761887,2,2010,5,14,6,8,"Morning",1.05504952263887
10.1,-73.977788,40.771838,-73.9662,40.778113,2,2012,5,21,2,15,"Evening",1.19957968406359
16.5,-73.9828,40.745287,-74.01425,40.702935,1,2014,12,8,2,16,"Evening",5.40387252401036
15.07,-73.961933,40.795585,-73.962253,40.764817,2,2010,8,16,2,1,"Night",3.4213515977697
7.7,-73.996601,40.736569,-73.982152,40.744322,1,2010,12,4,7,14,"Evening",1.49166902632341
24.9,-74.006662,40.73121,-73.92594,40.825588,1,2011,8,12,6,4,"Morning",12.5031741643979
7,-73.988425,40.764342,-74.001642,40.745752,2,2013,2,6,4,22,"Night",2.34784017672883
8.5,-73.994128,40.735087,-73.986393,40.751461,1,2014,6,11,4,22,"Night",1.93380627646036
5.7,-73.97383,40.763717,-73.98942,40.771522,1,2010,8,19,5,16,"Evening",1.5738326916893
5,-74.01336,40.702272,-74.01699,40.709245,1,2013,3,10,1,15,"Evening",0.833554696319902
8.5,-73.95371,40.790813,-73.957015,40.777676,2,2013,6,14,6,8,"Morning",1.4870345239545
17,-74.009728,40.705167,-73.970897,40.749307,1,2013,7,8,2,21,"Night",5.89887998050518
8,-73.950688,40.828531,-73.964101,40.80814,1,2014,3,21,6,11,"Mid-Day",2.5327826950052
