fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,H_Distance,Year,Month,Date,Day of Week,Hour
4.5,-73.844311,40.721319,-73.84161,40.712278000000005,1.0,1.0307639350484827,2009,6,15,0,17
16.9,-74.016048,40.711303,-73.979268,40.782004,1.0,8.45013359580609,2010,1,5,1,16
5.7,-73.982738,40.76127,-73.991242,40.750562,2.0,1.3895252257699269,2011,8,18,3,0
7.7,-73.9837598,40.758209,-73.9857141,40.75814,1.0,0.16478359210912566,2012,4,21,5,4
5.3,-73.96809499999999,40.768008,-73.956655,40.783762,1.0,1.9991567879955896,2010,3,9,1,7
12.1,-74.000964,40.731629999999996,-73.972892,40.758233000000004,1.0,3.787239084783153,2011,1,6,3,9
7.5,-73.980002,40.751661999999996,-73.973802,40.764842,1.0,1.5558066593511022,2012,11,20,1,20
16.5,-73.9513,40.774138,-73.990095,40.751048,1.0,4.1554442918459635,2012,1,4,2,17
8.9,-73.98065799999999,40.733872999999996,-73.99154,40.758138,2.0,2.8496267961084225,2009,9,2,2,1
5.3,-73.996335,40.737142,-73.980721,40.733559,1.0,1.3745769995939756,2012,4,8,6,7
5.5,-73.98078826500002,40.756167861,-73.980323375,40.754960611,3.0,0.13983466738675104,2012,12,24,0,11
4.1,-73.991601,40.744712,-73.983081,40.744682,2.0,0.7177674874535057,2009,11,6,4,1
7.0,-74.00536,40.728867,-74.008913,40.710907,1.0,2.019383827197718,2013,7,2,1,19
7.7,-74.00182099999999,40.737547,-73.99806,40.722788,2.0,1.671444598075534,2011,4,5,1,17
5.0,-73.97038421699999,40.765086602,-73.97135990299999,40.763089421,1.0,0.23679132808076186,2013,11,23,5,12
12.5,-73.98643,40.760465,-73.98899,40.737075,1.0,2.609774493745314,2014,2,19,2,7
5.3,-73.98106,40.73769,-73.99417700000001,40.728412,1.0,1.5119042477197386,2009,7,22,2,16
